Name,Team,League,Age,Goals,Assists,ProgP,SoT,G/Sh,SCA,PassesPA,KP,Creation Rank,Scoring Rank
Aaron Connolly,Hull City,Championship,23,8,0,10,16,0.2,22,1,8,2038.5,137.5
Aaron Drewe,QPR,Championship,22,0,0,0,0,0,0,0,0,2904.5,1913.0
Aaron Ramsey,Cardiff City,Championship,33,3,0,32,3,0.29,24,8,9,1550.5,471.5
Abdoullah Ba,Sunderland,Championship,20,2,2,18,5,0.08,48,8,19,1023.0,702.0
Abdul Fatawu Issahaku,Leicester City,Championship,19,2,7,60,7,0.05,66,43,37,243.5,689.5
Adam Armstrong,Southampton,Championship,26,14,11,67,30,0.16,75,25,45,244.0,109.5
Adam Forshaw,Norwich City,Championship,32,0,0,15,0,0.0,1,0,0,2592.0,1913.0
Adam Idah,Norwich City,Championship,22,6,1,19,16,0.21,23,3,7,1515.5,148.0
Adam Randell,Plymouth Argyle,Championship,23,3,1,56,9,0.17,52,12,31,744.0,341.5
Adam Reach,West Brom,Championship,30,0,0,2,2,0.0,1,2,1,2411.0,1622.0
Adam Wharton,Blackburn,Championship,19,1,3,135,4,0.05,69,33,34,179.5,899.5
Adama Traoré,Hull City,Championship,28,2,1,53,6,0.09,33,9,15,971.5,646.0
Adil Aouchiche,Sunderland,Championship,21,1,1,46,6,0.05,35,11,20,900.5,831.5
Aidomo Emakhu,Millwall,Championship,20,1,1,11,6,0.07,17,6,3,1633.0,796.0
Ajibola Alese,Sunderland,Championship,22,0,0,4,0,0.0,3,0,2,2508.5,1913.0
Akin Famewo,Sheffield Weds,Championship,25,0,0,59,0,0.0,15,6,5,1594.0,1913.0
Alan Browne,Preston,Championship,28,4,2,82,7,0.1,53,17,28,444.5,494.0
Albert Adomah,QPR,Championship,36,0,0,1,0,0.0,5,2,4,2285.5,1913.0
Alex Bangura,Middlesbrough,Championship,24,1,1,13,1,0.5,10,3,3,1717.5,796.0
Alex Matos,Huddersfield,Championship,19,0,0,1,0,0.0,2,1,1,2522.5,1913.0
Alex Mowatt,West Brom,Championship,28,1,2,117,2,0.06,69,18,38,325.0,1023.0
Alex Palmer,West Brom,Championship,27,0,0,1,0,0,4,1,0,2662.0,1913.0
Alex Pritchard,Sunderland,Championship,30,1,5,83,8,0.04,71,18,35,270.0,794.0
Alexander Gilbert,Middlesbrough,Championship,22,0,0,4,0,0,2,1,0,2569.0,1913.0
Alfie Jones,Hull City,Championship,26,1,2,103,3,0.25,27,6,8,870.5,660.0
Alistair McCann,Preston,Championship,24,0,0,47,1,0.0,25,4,8,1604.5,1708.0
Allahyar Sayyadmanesh,Hull City,Championship,22,0,0,4,0,0.0,2,2,1,2354.0,1913.0
Allan Campbell,Millwall,Championship,25,0,2,22,1,0.0,17,7,7,1240.0,1708.0
Andre Dozzell,QPR,Championship,24,2,1,73,6,0.12,43,10,21,778.5,580.0
Andreas Voglsammer,Millwall,Championship,32,0,0,3,0,0.0,0,0,0,2755.5,1913.0
Andreas Weimann,Bristol City,Championship,32,1,1,26,4,0.08,11,4,7,1410.0,845.0
Andrew Hughes,Preston,Championship,31,1,1,80,4,0.09,23,4,8,1114.5,823.5
Andrew Moran,Blackburn,Championship,20,1,6,104,6,0.04,69,30,33,143.5,847.5
Andrew Omobamidele,Norwich City,Championship,21,0,0,1,0,0,1,0,1,2681.0,1913.0
André Green,Rotherham Utd,Championship,25,0,0,12,1,0.0,12,4,4,1975.0,1708.0
André Vidigal,Stoke City,Championship,25,5,0,35,14,0.11,27,16,12,1315.0,348.0
Andy King,Bristol City,Championship,35,0,1,6,0,0.0,3,0,2,2126.5,1913.0
Andy Rinomhota,Cardiff City,Championship,26,0,0,1,1,0.0,0,0,0,2820.5,1708.0
Andy Smith,Hull City,Championship,22,0,0,0,0,0,1,0,0,2904.5,1913.0
Anfernee Dijksteel,Middlesbrough,Championship,27,0,0,15,0,0.0,12,3,5,1965.0,1913.0
Angus Gunn,Norwich City,Championship,27,0,0,1,0,0,1,0,0,2820.5,1913.0
Anis Mehmeti,Bristol City,Championship,23,1,0,29,7,0.04,24,13,12,1379.0,815.0
Anthony Musaba,Sheffield Weds,Championship,23,4,2,31,8,0.15,39,9,16,930.5,340.5
Anthony Patterson,Sunderland,Championship,23,0,0,0,0,0,5,0,1,2765.0,1913.0
Archie Gray,Leeds United,Championship,17,0,1,95,0,0.0,39,7,13,888.5,1913.0
Arnór Sigurðsson,Blackburn,Championship,24,5,1,79,11,0.25,33,27,14,645.5,183.5
Arvin Appiah,Rotherham Utd,Championship,23,0,1,9,0,0.0,12,3,3,1755.5,1913.0
Ashley Barnes,Norwich City,Championship,34,3,2,23,10,0.06,23,4,9,1261.5,543.5
Ashley Fletcher,Sheffield Weds,Championship,28,0,1,8,4,0.0,9,2,3,1826.0,1479.5
Ashley Phillips,Plymouth Argyle,Championship,18,0,0,1,0,0,0,0,0,2820.5,1913.0
Asmir Begović,QPR,Championship,36,0,0,0,0,0,4,1,1,2606.5,1913.0
Axel Tuanzebe,Ipswich Town,Championship,26,0,0,16,0,0.0,4,1,1,2283.5,1913.0
Aynsley Pears,Blackburn,Championship,25,0,0,0,0,0,0,0,0,2904.5,1913.0
Azeem Abdullah,Swansea City,Championship,21,0,0,0,0,0,0,0,0,2904.5,1913.0
Bae Junho,Stoke City,Championship,20,0,2,44,2,0.0,35,17,18,706.5,1622.0
Bailey-Tye Cadamarteri,Sheffield Weds,Championship,18,3,1,5,8,0.15,10,2,6,1765.0,376.0
Bali Mumba,Plymouth Argyle,Championship,22,2,3,88,10,0.1,73,29,34,244.0,532.5
Bambo Diaby,Sheffield Weds,Championship,26,0,0,23,2,0.0,9,0,3,2263.0,1622.0
Barry Bannan,Sheffield Weds,Championship,34,1,0,148,6,0.04,94,32,41,676.0,847.5
Bartosz Białkowski,Millwall,Championship,36,0,0,0,0,0,2,0,0,2904.5,1913.0
Bashir Humphreys,Swansea City,Championship,20,1,0,42,1,0.17,4,4,1,1931.0,884.5
Ben Cabango,Swansea City,Championship,23,0,0,51,1,0.0,14,2,4,1830.0,1708.0
Ben Gibson,Norwich City,Championship,31,0,0,46,0,0.0,10,1,3,1966.5,1913.0
Ben Hamer,Watford,Championship,36,0,0,0,0,0,1,0,0,2904.5,1913.0
Ben Jackson,Huddersfield,Championship,22,1,1,18,3,0.2,10,6,3,1562.5,690.0
Ben Pearson,Stoke City,Championship,29,0,1,103,0,0.0,22,9,10,877.5,1913.0
Ben Sheaf,Coventry City,Championship,25,1,0,163,10,0.03,73,28,26,739.5,760.5
Ben Waine,Plymouth Argyle,Championship,22,2,1,1,5,0.13,8,0,2,2270.5,580.5
Ben Whiteman,Preston,Championship,27,2,1,82,4,0.17,35,12,13,793.0,546.5
Ben Wiles,Rotherham Utd,Championship,24,0,0,0,1,0.0,2,1,1,2606.5,1708.0
Ben Wiles,Rotherham Utd,Championship,24,0,0,0,1,0.0,2,9,10,1944.0,1708.0
Ben Wiles,Rotherham Utd,Championship,24,0,0,0,1,0.0,21,1,1,2606.5,1708.0
Ben Wiles,Rotherham Utd,Championship,24,0,0,0,1,0.0,21,9,10,1944.0,1708.0
Ben Wiles,Rotherham Utd,Championship,24,0,0,0,3,0.0,2,1,1,2606.5,1542.0
Ben Wiles,Rotherham Utd,Championship,24,0,0,0,3,0.0,2,9,10,1944.0,1542.0
Ben Wiles,Rotherham Utd,Championship,24,0,0,0,3,0.0,21,1,1,2606.5,1542.0
Ben Wiles,Rotherham Utd,Championship,24,0,0,0,3,0.0,21,9,10,1944.0,1542.0
Ben Wiles,Huddersfield,Championship,24,0,0,43,1,0.0,2,1,1,2105.5,1708.0
Ben Wiles,Huddersfield,Championship,24,0,0,43,1,0.0,2,9,10,1443.0,1708.0
Ben Wiles,Huddersfield,Championship,24,0,0,43,1,0.0,21,1,1,2105.5,1708.0
Ben Wiles,Huddersfield,Championship,24,0,0,43,1,0.0,21,9,10,1443.0,1708.0
Ben Wiles,Huddersfield,Championship,24,0,0,43,3,0.0,2,1,1,2105.5,1542.0
Ben Wiles,Huddersfield,Championship,24,0,0,43,3,0.0,2,9,10,1443.0,1542.0
Ben Wiles,Huddersfield,Championship,24,0,0,43,3,0.0,21,1,1,2105.5,1542.0
Ben Wiles,Huddersfield,Championship,24,0,0,43,3,0.0,21,9,10,1443.0,1542.0
Ben Wilmot,Stoke City,Championship,24,1,2,34,1,0.25,11,2,2,1526.5,826.0
Ben Wilson,Coventry City,Championship,31,0,0,1,0,0,1,0,0,2820.5,1913.0
Ben Woodburn,Preston,Championship,24,0,0,8,0,0.0,5,1,1,2357.5,1913.0
Benjamin Nelson,Leicester City,Championship,19,0,0,0,0,0,0,0,0,2904.5,1913.0
Billy Mitchell,Millwall,Championship,23,0,1,59,0,0.0,17,7,7,1160.5,1913.0
Billy Sharp,Hull City,Championship,37,0,0,1,2,0.0,0,0,0,2820.5,1622.0
Bobby Thomas,Coventry City,Championship,0,1,0,96,4,0.06,18,10,5,1354.5,880.5
Borja Sainz,Norwich City,Championship,22,2,1,10,6,0.11,11,2,6,1700.5,604.0
Brad Potts,Preston,Championship,29,1,1,85,7,0.04,43,20,19,598.0,815.0
Bradley Collins,Coventry City,Championship,26,0,0,0,0,0,2,1,0,2746.0,1913.0
Bradley Dack,Sunderland,Championship,30,1,1,32,3,0.13,19,6,12,1194.5,786.0
Brahima Diarra,Huddersfield,Championship,20,0,1,16,1,0.0,15,3,6,1586.5,1708.0
Brandon Khela,Birmingham City,Championship,18,0,0,0,0,0,0,0,0,2904.5,1913.0
Brandon Thomas-Asante,West Brom,Championship,25,9,2,23,24,0.17,36,7,12,1108.5,117.5
Brandon Williams,Ipswich Town,Championship,23,2,0,38,2,0.67,14,5,3,1792.0,597.0
Brendan Galloway,Plymouth Argyle,Championship,27,0,0,6,0,0.0,6,3,1,2242.0,1913.0
Brodie Gilmore,Huddersfield,Championship,19,0,0,3,0,0,0,0,0,2755.5,1913.0
Brooke Norton-Cuffy,Millwall,Championship,20,2,2,47,9,0.13,42,14,14,786.5,474.0
Cafú,Rotherham Utd,Championship,30,0,3,26,1,0.0,36,9,21,843.5,1708.0
Caleb Taylor,West Brom,Championship,21,0,0,1,0,0,0,0,0,2820.5,1913.0
Callum Brittain,Blackburn,Championship,25,1,2,139,7,0.04,60,37,24,290.0,815.0
Callum Doyle,Leicester City,Championship,20,0,1,64,4,0.0,21,11,7,1027.0,1479.5
Callum O'Dowda,Cardiff City,Championship,28,0,1,7,1,0.0,8,0,4,2033.0,1708.0
Callum O'Hare,Coventry City,Championship,25,5,1,61,11,0.24,31,15,18,776.0,191.0
Callum Paterson,Sheffield Weds,Championship,29,0,1,35,3,0.0,19,7,10,1197.5,1542.0
Callum Robinson,Cardiff City,Championship,28,1,1,46,7,0.06,32,13,15,923.5,780.0
Callum Wright,Plymouth Argyle,Championship,23,0,0,23,5,0.0,20,6,4,1830.0,1446.0
Calum Kavanagh,Middlesbrough,Championship,20,0,0,0,0,0,0,0,0,2904.5,1913.0
Calvin Ramsay,Preston,Championship,20,0,0,7,0,0.0,0,1,0,2506.5,1913.0
Cameron Burgess,Ipswich Town,Championship,28,0,1,97,1,0.0,31,4,6,1145.0,1708.0
Cameron Dawson,Sheffield Weds,Championship,28,0,0,0,0,0,3,0,0,2904.5,1913.0
Cameron Humphreys,Rotherham Utd,Championship,25,0,1,17,0,0,4,1,2,1858.5,1913.0
Cameron Humphreys,Rotherham Utd,Championship,25,0,1,17,0,0,4,2,6,1633.0,1913.0
Cameron Humphreys,Rotherham Utd,Championship,25,0,1,17,0,0,5,1,2,1858.5,1913.0
Cameron Humphreys,Rotherham Utd,Championship,25,0,1,17,0,0,5,2,6,1633.0,1913.0
Cameron Humphreys,Rotherham Utd,Championship,25,0,1,17,0,0,4,1,2,1858.5,1913.0
Cameron Humphreys,Rotherham Utd,Championship,25,0,1,17,0,0,4,2,6,1633.0,1913.0
Cameron Humphreys,Rotherham Utd,Championship,25,0,1,17,0,0,5,1,2,1858.5,1913.0
Cameron Humphreys,Rotherham Utd,Championship,25,0,1,17,0,0,5,2,6,1633.0,1913.0
Cameron Humphreys,Ipswich Town,Championship,20,0,1,3,0,0,4,1,2,2047.0,1913.0
Cameron Humphreys,Ipswich Town,Championship,20,0,1,3,0,0,4,2,6,1821.5,1913.0
Cameron Humphreys,Ipswich Town,Championship,20,0,1,3,0,0,5,1,2,2047.0,1913.0
Cameron Humphreys,Ipswich Town,Championship,20,0,1,3,0,0,5,2,6,1821.5,1913.0
Cameron Humphreys,Ipswich Town,Championship,20,0,1,3,0,0,4,1,2,2047.0,1913.0
Cameron Humphreys,Ipswich Town,Championship,20,0,1,3,0,0,4,2,6,1821.5,1913.0
Cameron Humphreys,Ipswich Town,Championship,20,0,1,3,0,0,5,1,2,2047.0,1913.0
Cameron Humphreys,Ipswich Town,Championship,20,0,1,3,0,0,5,2,6,1821.5,1913.0
Cameron Pring,Bristol City,Championship,25,1,2,94,2,0.09,43,18,21,456.0,966.0
Carl Rushworth,Swansea City,Championship,22,0,0,0,0,0,2,1,0,2746.0,1913.0
Carlos Alcaraz,Southampton,Championship,21,3,1,78,16,0.08,47,23,17,627.0,455.5
Casper de Norre,Millwall,Championship,26,0,1,105,3,0.0,44,12,18,673.0,1542.0
Cesare Casadei,Leicester City,Championship,21,2,0,49,7,0.1,29,4,12,1500.5,594.5
Charlie Cresswell,Leeds United,Championship,21,0,0,7,0,0.0,2,0,0,2665.0,1913.0
Charlie Kelman,QPR,Championship,22,0,0,3,3,0.0,3,0,1,2616.0,1542.0
Charlie Patino,Swansea City,Championship,20,3,4,57,3,0.3,45,11,26,556.5,468.5
Che Adams,Southampton,Championship,27,7,2,36,16,0.19,27,11,11,930.5,160.5
Ched Evans,Preston,Championship,35,0,1,19,6,0.0,11,2,6,1615.0,1411.5
Chiquinho,Stoke City,Championship,23,0,0,1,0,0.0,2,0,0,2820.5,1913.0
Chris Maxwell,Huddersfield,Championship,33,0,0,0,0,0,0,0,0,2904.5,1913.0
Chris Rigg,Sunderland,Championship,16,1,0,7,1,1.0,5,2,2,2212.0,790.5
Chris Willock,QPR,Championship,25,3,1,48,6,0.16,34,9,14,1010.5,422.0
Christ Tiéhi,Rotherham Utd,Championship,25,1,0,77,4,0.07,20,5,5,1536.0,864.0
Christian Fassnacht,Norwich City,Championship,30,4,0,35,8,0.17,21,15,8,1421.0,324.5
Ciaran Clark,Stoke City,Championship,34,0,0,7,1,0.0,1,0,0,2665.0,1708.0
Ciaran McGuckin,Rotherham Utd,Championship,20,0,0,1,0,0,0,0,0,2820.5,1913.0
Cody Drameh,Leeds United,Championship,22,0,0,0,0,0,1,0,1,2765.0,1913.0
Cody Drameh,Leeds United,Championship,22,0,0,0,0,0,1,6,16,1914.5,1913.0
Cody Drameh,Leeds United,Championship,22,0,0,0,0,0,29,0,1,2765.0,1913.0
Cody Drameh,Leeds United,Championship,22,0,0,0,0,0,29,6,16,1914.5,1913.0
Cody Drameh,Leeds United,Championship,22,0,0,0,2,0.0,1,0,1,2765.0,1622.0
Cody Drameh,Leeds United,Championship,22,0,0,0,2,0.0,1,6,16,1914.5,1622.0
Cody Drameh,Leeds United,Championship,22,0,0,0,2,0.0,29,0,1,2765.0,1622.0
Cody Drameh,Leeds United,Championship,22,0,0,0,2,0.0,29,6,16,1914.5,1622.0
Cody Drameh,Birmingham City,Championship,22,0,3,38,0,0,1,0,1,1754.5,1913.0
Cody Drameh,Birmingham City,Championship,22,0,3,38,0,0,1,6,16,904.0,1913.0
Cody Drameh,Birmingham City,Championship,22,0,3,38,0,0,29,0,1,1754.5,1913.0
Cody Drameh,Birmingham City,Championship,22,0,3,38,0,0,29,6,16,904.0,1913.0
Cody Drameh,Birmingham City,Championship,22,0,3,38,2,0.0,1,0,1,1754.5,1622.0
Cody Drameh,Birmingham City,Championship,22,0,3,38,2,0.0,1,6,16,904.0,1622.0
Cody Drameh,Birmingham City,Championship,22,0,3,38,2,0.0,29,0,1,1754.5,1622.0
Cody Drameh,Birmingham City,Championship,22,0,3,38,2,0.0,29,6,16,904.0,1622.0
Cohen Bramall,Rotherham Utd,Championship,27,1,1,43,2,0.13,27,15,15,914.5,866.0
Conor Chaplin,Ipswich Town,Championship,26,9,6,143,27,0.09,93,34,32,110.0,283.0
Conor Coady,Leicester City,Championship,30,0,0,42,0,0,3,0,0,2412.0,1913.0
Conor Hazard,Plymouth Argyle,Championship,25,0,0,0,0,0,1,0,1,2765.0,1913.0
Conor Townsend,West Brom,Championship,30,0,1,93,2,0.0,44,25,20,552.5,1622.0
Crysencio Summerville,Leeds United,Championship,22,12,7,87,29,0.15,144,37,72,111.0,120.5
Cyrus Christie,Hull City,Championship,31,0,2,83,2,0.0,29,13,9,731.0,1622.0
Cédric Kipré,West Brom,Championship,27,1,0,87,2,0.07,16,2,3,1702.5,1006.5
Dael Fry,Middlesbrough,Championship,26,0,1,66,3,0.0,13,6,5,1224.5,1542.0
Dan McNamara,Millwall,Championship,25,0,0,23,0,0.0,9,8,1,1945.5,1913.0
Dan Scarr,Plymouth Argyle,Championship,29,1,0,38,2,0.25,9,1,1,2127.5,740.0
Dane Scarlett,Ipswich Town,Championship,19,0,0,4,3,0.0,10,0,1,2588.0,1542.0
Daniel Ayala,Rotherham Utd,Championship,33,0,0,6,1,0.0,2,0,2,2457.5,1708.0
Daniel Bachmann,Watford,Championship,29,0,0,2,0,0,1,0,0,2784.5,1913.0
Daniel Ballard,Sunderland,Championship,24,3,0,63,7,0.11,14,2,7,1653.0,506.5
Daniel Barlaser,Middlesbrough,Championship,26,0,2,127,0,0.0,64,23,39,271.5,1913.0
Daniel Iversen,Stoke City,Championship,26,0,0,0,0,0,0,0,0,2904.5,1913.0
Daniel James,Leeds United,Championship,26,9,5,72,22,0.15,68,41,38,209.5,143.5
Daniel Johnson,Stoke City,Championship,31,2,2,73,6,0.07,60,25,31,393.0,686.5
Daniel Neil,Sunderland,Championship,22,4,3,192,9,0.11,75,22,32,202.5,431.5
Danny Batth,Norwich City,Championship,33,1,0,8,3,0.17,4,1,1,2357.5,718.5
Danny Ward,Huddersfield,Championship,32,1,0,15,6,0.05,11,3,3,2032.5,831.5
Darko Gyabi,Plymouth Argyle,Championship,19,0,0,5,0,0.0,1,0,0,2699.0,1913.0
Darko Gyabi,Plymouth Argyle,Championship,19,0,0,5,0,0.0,1,0,0,2699.0,1913.0
Darko Gyabi,Plymouth Argyle,Championship,19,0,0,5,0,0.0,0,0,0,2699.0,1913.0
Darko Gyabi,Plymouth Argyle,Championship,19,0,0,5,0,0.0,0,0,0,2699.0,1913.0
Darko Gyabi,Plymouth Argyle,Championship,19,0,0,5,0,0,1,0,0,2699.0,1913.0
Darko Gyabi,Plymouth Argyle,Championship,19,0,0,5,0,0,1,0,0,2699.0,1913.0
Darko Gyabi,Plymouth Argyle,Championship,19,0,0,5,0,0,0,0,0,2699.0,1913.0
Darko Gyabi,Plymouth Argyle,Championship,19,0,0,5,0,0,0,0,0,2699.0,1913.0
Darko Gyabi,Leeds United,Championship,19,0,0,0,0,0.0,1,0,0,2904.5,1913.0
Darko Gyabi,Leeds United,Championship,19,0,0,0,0,0.0,1,0,0,2904.5,1913.0
Darko Gyabi,Leeds United,Championship,19,0,0,0,0,0.0,0,0,0,2904.5,1913.0
Darko Gyabi,Leeds United,Championship,19,0,0,0,0,0.0,0,0,0,2904.5,1913.0
Darko Gyabi,Leeds United,Championship,19,0,0,0,0,0,1,0,0,2904.5,1913.0
Darko Gyabi,Leeds United,Championship,19,0,0,0,0,0,1,0,0,2904.5,1913.0
Darko Gyabi,Leeds United,Championship,19,0,0,0,0,0,0,0,0,2904.5,1913.0
Darko Gyabi,Leeds United,Championship,19,0,0,0,0,0,0,0,0,2904.5,1913.0
Darnell Furlong,West Brom,Championship,28,2,1,110,6,0.09,45,30,20,498.0,646.0
Darragh Lenihan,Middlesbrough,Championship,29,1,0,61,3,0.14,9,2,5,1736.5,751.0
Daryl Dike,West Brom,Championship,23,0,0,0,0,0.0,0,0,0,2904.5,1913.0
David Cornell,Preston,Championship,32,0,0,0,0,0,0,0,0,2904.5,1913.0
David Kasumu,Huddersfield,Championship,24,0,1,26,1,0.0,16,9,4,1385.5,1708.0
Degnand Gnonto,Leeds United,Championship,20,1,1,28,4,0.06,30,14,6,1207.0,880.5
Delano Burgzorg,Huddersfield,Championship,25,6,1,13,12,0.18,34,7,12,1322.5,206.5
Dennis Cirkin,Sunderland,Championship,21,0,1,23,1,0.0,11,2,5,1630.5,1708.0
Dennis Praet,Leicester City,Championship,29,0,1,8,1,0.0,7,3,3,1765.0,1708.0
Devis Vásquez,Sheffield Weds,Championship,25,0,0,0,0,0,1,1,0,2746.0,1913.0
Dexter Lembikisa,Rotherham Utd,Championship,20,1,0,53,2,0.17,18,17,6,1372.5,798.5
Di'Shon Bernard,Sheffield Weds,Championship,23,0,2,49,1,0.0,14,1,6,1381.0,1708.0
Dilan Markanday,Blackburn,Championship,22,1,0,32,2,0.09,21,14,7,1477.0,966.0
Dimitris Giannoulis,Norwich City,Championship,28,0,3,65,1,0.0,44,28,24,400.5,1708.0
Dimitris Goutas,Cardiff City,Championship,29,4,0,49,6,0.27,16,0,1,2233.5,309.5
Dion Sanderson,Birmingham City,Championship,24,1,0,43,2,0.1,11,2,3,1905.0,947.0
Djed Spence,Leeds United,Championship,23,0,0,15,0,0.0,9,4,5,1918.5,1913.0
Djeidi Gassama,Sheffield Weds,Championship,20,1,2,19,3,0.13,19,5,11,1200.0,786.0
Dominic Ball,Ipswich Town,Championship,28,0,0,11,0,0,1,0,1,2485.5,1913.0
Dominic Hyam,Blackburn,Championship,28,0,0,68,0,0.0,12,0,2,2059.5,1913.0
Dominic Iorfa,Sheffield Weds,Championship,28,0,1,23,1,0.0,10,2,3,1698.0,1708.0
Doğukan Sınık,Hull City,Championship,24,0,0,1,1,0.0,2,0,0,2820.5,1708.0
Duane Holmes,Preston,Championship,29,3,4,63,9,0.13,43,23,19,436.0,409.0
Duncan Watmore,Millwall,Championship,29,1,1,28,9,0.05,35,14,11,1060.5,759.5
Dwight Gayle,Stoke City,Championship,33,0,0,8,3,0.0,6,2,4,2120.5,1542.0
Ebou Adams,Cardiff City,Championship,28,0,0,5,0,0.0,0,0,0,2699.0,1913.0
Edo Kayembe,Watford,Championship,25,4,1,98,10,0.13,50,14,21,639.5,351.0
Eliezer Mayenda,Sunderland,Championship,18,0,0,0,1,0.0,5,0,0,2904.5,1708.0
Elijah Dixon-Bonner,QPR,Championship,23,0,0,53,3,0.0,19,10,10,1361.5,1542.0
Ellis Simms,Coventry City,Championship,23,3,1,17,17,0.07,28,6,7,1432.0,467.0
Emanuel Aiwum,Birmingham City,Championship,23,0,0,29,1,0.0,9,2,2,2015.5,1708.0
Emil Riis Jakobsen,Preston,Championship,25,0,1,1,0,0,3,2,2,2036.5,1913.0
Emmanouil Siopis,Cardiff City,Championship,29,0,0,72,2,0.0,21,6,9,1404.5,1622.0
Emmanuel Latte Lath,Middlesbrough,Championship,25,5,0,13,20,0.14,21,6,6,1842.5,216.0
Emmanuel Longelo,Birmingham City,Championship,23,0,1,42,3,0.0,21,5,8,1274.5,1542.0
Enda Stevens,Stoke City,Championship,33,0,0,81,0,0.0,23,22,10,1071.0,1913.0
Ephraim Yeboah,Bristol City,Championship,17,0,0,5,0,0.0,3,0,1,2559.5,1913.0
Erik Pieters,West Brom,Championship,35,0,0,49,1,0.0,12,5,4,1703.0,1708.0
Ethan Ampadu,Leeds United,Championship,23,0,1,128,5,0.0,61,15,28,535.0,1446.0
Ethan Laird,Birmingham City,Championship,22,0,0,20,0,0.0,21,4,9,1742.5,1913.0
Fabio Carvalho,Hull City,Championship,21,0,0,7,0,0.0,6,0,3,2400.5,1913.0
Finn Azaz,Plymouth Argyle,Championship,23,7,5,144,16,0.12,122,35,63,76.5,277.0
Finn Azaz,Plymouth Argyle,Championship,23,7,5,144,16,0.12,122,0,1,1409.0,277.0
Finn Azaz,Plymouth Argyle,Championship,23,7,5,144,16,0.12,2,35,63,76.5,277.0
Finn Azaz,Plymouth Argyle,Championship,23,7,5,144,16,0.12,2,0,1,1409.0,277.0
Finn Azaz,Plymouth Argyle,Championship,23,7,5,144,0,0,122,35,63,76.5,1336.5
Finn Azaz,Plymouth Argyle,Championship,23,7,5,144,0,0,122,0,1,1409.0,1336.5
Finn Azaz,Plymouth Argyle,Championship,23,7,5,144,0,0,2,35,63,76.5,1336.5
Finn Azaz,Plymouth Argyle,Championship,23,7,5,144,0,0,2,0,1,1409.0,1336.5
Finn Azaz,Middlesbrough,Championship,23,0,0,2,16,0.12,122,35,63,1312.5,853.5
Finn Azaz,Middlesbrough,Championship,23,0,0,2,16,0.12,122,0,1,2645.0,853.5
Finn Azaz,Middlesbrough,Championship,23,0,0,2,16,0.12,2,35,63,1312.5,853.5
Finn Azaz,Middlesbrough,Championship,23,0,0,2,16,0.12,2,0,1,2645.0,853.5
Finn Azaz,Middlesbrough,Championship,23,0,0,2,0,0,122,35,63,1312.5,1913.0
Finn Azaz,Middlesbrough,Championship,23,0,0,2,0,0,122,0,1,2645.0,1913.0
Finn Azaz,Middlesbrough,Championship,23,0,0,2,0,0,2,35,63,1312.5,1913.0
Finn Azaz,Middlesbrough,Championship,23,0,0,2,0,0,2,0,1,2645.0,1913.0
Flynn Downes,Southampton,Championship,24,0,2,78,0,0.0,40,13,14,647.0,1913.0
Francisco Sierralta,Watford,Championship,26,0,1,36,1,0.0,13,0,5,1772.5,1708.0
Fred Onyedinma,Rotherham Utd,Championship,27,2,2,15,7,0.1,20,4,5,1454.0,594.5
Freddie Ladapo,Ipswich Town,Championship,30,2,0,4,8,0.12,3,0,1,2588.0,526.5
Freddie Woodman,Preston,Championship,26,0,0,0,0,0,3,0,0,2904.5,1913.0
Frederick Issaka,Plymouth Argyle,Championship,17,0,0,0,1,0.0,0,0,0,2904.5,1708.0
Gabriel,Norwich City,Championship,24,5,8,194,12,0.09,129,44,75,16.0,402.0
Gary Gardner,Birmingham City,Championship,31,1,0,16,1,0.25,8,3,6,1917.5,826.0
Gavin Bazunu,Southampton,Championship,21,0,0,4,0,0.0,3,0,1,2588.0,1913.0
George Byers,Sheffield Weds,Championship,27,1,1,51,4,0.07,24,8,9,1131.5,864.0
George Edmundson,Ipswich Town,Championship,26,0,0,12,0,0,2,0,0,2617.5,1913.0
George Evans,Millwall,Championship,29,0,0,2,0,0,0,0,0,2784.5,1913.0
George Hall,Birmingham City,Championship,19,0,0,0,0,0,0,0,0,2904.5,1913.0
George Hirst,Ipswich Town,Championship,24,6,6,25,20,0.11,37,5,24,867.5,290.5
George Honeyman,Millwall,Championship,29,0,1,33,0,0.0,26,4,13,1227.0,1913.0
George Long,Norwich City,Championship,30,0,0,0,0,0,1,0,0,2904.5,1913.0
George Saville,Millwall,Championship,30,2,2,57,6,0.12,37,3,17,971.0,580.0
George Tanner,Bristol City,Championship,24,0,0,83,1,0.0,23,11,10,1201.0,1708.0
Georgie Kelly,Rotherham Utd,Championship,27,1,1,3,2,0.11,11,1,2,2047.0,924.0
Georginio Rutter,Leeds United,Championship,21,5,9,93,25,0.07,107,37,55,115.0,375.0
Gerard Buabo,Ipswich Town,Championship,0,0,0,0,0,0,0,0,0,2904.5,1913.0
Giorgi Chakvetadze,Watford,Championship,24,1,2,51,9,0.05,52,11,29,668.0,759.5
Glen Kamara,Leeds United,Championship,28,0,2,121,1,0.0,48,17,21,437.5,1708.0
Grady Diangana,West Brom,Championship,25,5,4,64,6,0.2,56,16,25,455.0,325.5
Grant Hall,Rotherham Utd,Championship,32,1,0,2,1,1.0,0,0,1,2645.0,790.5
Grant Hanley,Norwich City,Championship,32,0,0,1,0,0,0,0,0,2820.5,1913.0
